serial,token_name,token,price_usd,price_24h,reward_pct,adjst_reward_pct,staking_marketcap,market_cap,staking_ratio
104,yearn.finance,YFI,6688.4800,-5.24%,0.7010,0.7010,4451586,208880087,0.0183
105,Ambrosus,AMB,0.0100,8.49%,0.0000,-0.0690,3501405,16321098,0.2153
106,Harvest Finance,FARM,34.1200,-3.07%,0.0110,0.0094,3276950,22818526,0.1440
107,Sentinel,DVPN,0.0000,-8.10%,0.5343,0.2384,3017098,3257618,0.6445
108,e-Money,NGM,0.0600,-8.53%,0.2856,0.1856,2887470,4729857,0.3711
109,Reddcoin,RDD,0.0000,-3.71%,0.1903,0.1403,2659677,9356014,0.2809
110,Mirror Protocol,MIR,0.1300,-2.65%,0.0000,0.0000,2634813,19714581,0.1140
111,Anchor Protocol,ANC,0.0500,-6.47%,0.0091,0.0077,2472026,17039463,0.1463
112,Dusk Network,DUSK,0.0900,-5.06%,0.1275,-37.1938,2435788,36867838,0.0660
113,Dock,DOCK,0.0200,-5.19%,0.1215,0.1004,2373065,70448413,0.1664
114,Desmos,DSM,0.0200,-6.51%,0.2011,0.0604,2304698,3978177,0.5762
115,V Systems,VSYS,0.0000,-3.14%,0.0014,-0.0438,2031197,2689656,0.3273
116,Origin Protocol,OGN,0.1000,-5.53%,0.2500,0.2450,2013053,50181332,0.0402
117,Spool DAO,SPOOL,0.1300,-3.63%,0.1852,0.0493,1892314,2365241,0.0681
118,ShapeShift FOX Token,FOX,0.0300,-1.73%,0.0445,0.0398,1811018,12831234,0.1083
119,Validity,VAL,1.3300,-1.48%,0.2661,0.2161,1332490,6268480,0.2118
120,Stake DAO,SDT,0.3100,-3.39%,0.0000,0.0000,1198565,13151543,0.0902
121,Sifchain,ROWAN,0.0000,-4.95%,0.1768,-0.1442,913301,2056855,0.3611
122,InsurAce,INSUR,0.0800,-0.83%,0.0412,-0.5183,910202,4558914,0.1996
123,ChangeX,CHANGE,0.0100,4.54%,0.5447,0.0000,875813,1352756,0.6520
124,Edgeware,EDG,0.0000,-4.57%,0.2139,0.1670,705332,3162252,0.2142
125,NXT,NXT,0.0000,-0.02%,0.0165,0.0165,476824,2976259,0.0868
126,Akropolis,AKRO,0.0000,-5.48%,0.1387,0.1282,1138422,284090,0.0803
127,MANTRA,OM,0.0300,-3.96%,0.1910,0.1895,245052,18610681,0.0338
128,Terra Classic,LUNC,0.0000,-0.04%,0.4591,-4257.6129,105063,9944031,0.0106
129,Voltage Finance,VOLT,0.0000,-3.26%,0.0581,-0.1088,81505,251932,0.0550
130,xDai,STAKE,0.6500,-5.39%,0.0825,0.0806,74706,1194391,0.0136
131,PackagePortal,PORT,0.0700,-6.25%,0.2672,0.2106,71099,239074,0.2974
132,Ampleforth,AMPL,1.4800,-3.27%,0.0000,0.0000,42106,54339207,0.0002
133,Bitcoin,BTC,17015.3300,-0.90%,0.0303,0.0303,unknown,327237509891,N/A
134,Ripple,XRP,0.3800,-3.01%,0.0308,0.0308,unknown,18933484122,N/A
135,Litecoin,LTC,74.9800,-3.29%,0.0360,0.0360,unknown,5381274005,N/A
136,Chainlink,LINK,6.6300,-3.63%,0.0700,0.0000,unknown,3256256168,N/A
137,Stellar,XLM,0.0800,-2.48%,N/A,0.0000,unknown,2147631963,N/A
138,ApeCoin,APE,4.2800,0.94%,0.0000,0.0000,unknown,1553348488,N/A
139,VeChain,VET,0.0200,-3.91%,0.0087,0.0087,unknown,1353222913,N/A
140,Decentraland,MANA,0.3800,-5.22%,0.0065,0.0065,unknown,689721930,N/A
141,KuCoin Shares,KCS,6.5700,-0.90%,0.0347,0.0347,unknown,640955672,N/A
