"link_link__eO8iL","link_link__eO8iL href","icon_image-icon__8UXqV src","brandGroup_name__DNvcT","brandGroup_ticker__DDHxA","price","row-24-price-change","rt-td","link_link__eO8iL 2","link_link__eO8iL 3","link_link__eO8iL 4","link_link__eO8iL 5"
"22","https://www.stakingrewards.com/earn/fantom/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F01%2FFantom-e1642186786397.jpg&w=64&q=75","Fantom","FTM","$0.24","1.87%","1.92%","-0.59%","$317,554,116","$613,412,433","47.54%"
"23","https://www.stakingrewards.com/earn/usdd/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F09%2F1-4.jpg&w=64&q=75","USDD","USDD","$0.98","0%","13.65%","13.65%","$192,483,041","$708,240,490","42.4%"
"23","https://www.stakingrewards.com/earn/casper-network/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2020%2F03%2Fcasper-labs-logo.png&w=64&q=75","Casper Network","CSPR","$0.03","0.17%","9.19%","1.16%","$251,883,040","$312,564,082","80.78%"
"24","https://www.stakingrewards.com/earn/oasis-network/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F04%2Foasis-network-1-e1617724112259.jpg&w=64&q=75","Oasis Network","ROSE","$0.04","-0.81%","4.74%","-0.12%","$237,969,640","$223,517,799","53.49%"
"25","https://www.stakingrewards.com/earn/dash/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/dash.svg","Dash","DASH","$46.6","3.14%","5.6%","2.97%","$207,806,040","$515,016,915","40.27%"
"26","https://www.stakingrewards.com/earn/decred/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Decred","DCR","$21.38","1.81%","8.04%","2.31%","$202,235,307","$311,574,793","65.17%"
"27","https://www.stakingrewards.com/earn/synthetix-network-token/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Synthetix Network Token","SNX","$1.88","-4.57%","0%","-22.49%","$199,913,052","$452,217,627","49.4%"
"28","https://www.stakingrewards.com/earn/the-graph/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","The Graph","GRT","$0.07","3.12%","8.42%","5.28%","$199,576,685","$486,798,653","28.75%"
"29","https://www.stakingrewards.com/earn/aave/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Aave","AAVE","$61.7","-2.65%","6.23%","4.89%","$198,725,170","$875,973,239","20.59%"
"30","https://www.stakingrewards.com/earn/band-protocol/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Band Protocol","BAND","$2.05","-3.76%","10.4%","1.88%","$194,182,068","$247,099,488","73.19%"
"31","https://www.stakingrewards.com/earn/osmosis/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Osmosis","OSMO","$0.9","-2.07%","22.19%","-13.01%","$193,031,801","$446,743,707","43.22%"
"32","https://www.stakingrewards.com/earn/kusama/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kusama","KSM","$29.19","-2.54%","13.69%","5.74%","$191,076,187","$261,749,702","50.18%"
"33","https://www.stakingrewards.com/earn/olympus/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Olympus","OHM","$9.13","-0.33%","7.2%","2%","$186,953,248","$265,360,494","70.42%"
"34","https://www.stakingrewards.com/earn/thorchain/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Thorchain","RUNE","$1.39","-2.8%","22.79%","17.58%","$167,213,665","$418,161,312","40.01%"
"35","https://www.stakingrewards.com/earn/stacks/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Stacks","STX","$0.27","3.02%","7.67%","7.63%","$140,147,556","$363,622,335","38.33%"
"36","https://www.stakingrewards.com/earn/radix/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Radix","XRD","$0.04","-7.9%","10.91%","7.77%","$138,619,308","$428,484,923","26.18%"
"37","https://www.stakingrewards.com/earn/zilliqa/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Zilliqa","ZIL","$0.02","-1.2%","11.1%","6.87%","$125,368,108","$373,741,643","33.52%"
"38","https://www.stakingrewards.com/earn/chain/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Chain","XCN","$0.04","2.56%","13.09%","10.98%","$122,264,688","$841,803,789","14.52%"
"39","https://www.stakingrewards.com/earn/secret-network/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Secret Network","SCRT","$0.79","0.14%","26.7%","9.48%","$113,125,349","$148,814,903","59.79%"
"60","https://www.stakingrewards.com/earn/swissborg/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F04%2FSwissborg-e1619445966459.jpg&w=64&q=75","SwissBorg","CHSB","$0.24","0.18%","14.81%","11.55%","$46,353,639","$223,633,880","19.75%"
"61","https://www.stakingrewards.com/earn/dao-maker/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F03%2Fdao-e1647443816526.jpeg&w=64&q=75","DAO Maker","DAO","$0.89","1.49%","9.51%","9.51%","$46,326,404","$112,369,448","41.31%"
"62","https://www.stakingrewards.com/earn/audius/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2022%2F08%2FAudiusCoinLogo_2x.jpg&w=64&q=75","Audius","AUDIO","$0.15","-1.67%","23.55%","15%","$42,454,639","$142,091,475","24.5%"
"63","https://www.stakingrewards.com/earn/ontology/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F02%2FProfile-1-e1612198010324.jpg&w=64&q=75","Ontology","ONT","$0.18","-0.57%","19.33%","19.33%","$41,853,022","$157,327,902","26.57%"
"64","https://www.stakingrewards.com/earn/iost/","https://cms.stakingrewards.com/wp-content/uploads/2019/05/iost.svg","IOST","IOST","$0.01","-0.23%","8.77%","4.59%","$41,783,176","$200,981,414","22.8%"
"65","https://www.stakingrewards.com/earn/cartesi/","https://www.stakingrewards.com/_next/image/?url=https%3A%2F%2Fcms.stakingrewards.com%2Fwp-content%2Fuploads%2F2021%2F02%2FCartesi-logo-e1612482612736.jpg&w=64&q=75","Cartesi","CTSI","$0.13","10.1%","18.17%","9.6%","$37,298,504","$85,149,790","43.55%"
"66","https://www.stakingrewards.com/earn/horizen/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Horizen","ZEN","$10.09","-1.46%","8.42%","7.34%","$35,594,095","$132,465,635","26.82%"
"67","https://www.stakingrewards.com/earn/divi-project/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Divi","DIVI","$0.01","-7.72%","19.4%","3.8%","$33,596,968","$46,310,179","72.75%"
